time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,HV
1677268800,1.05508,1.05552,1.05504,1.05534,2190,3915.95,49.38094819669784,45.019039095688626,NaN,NaN,1.1388252462930728
1677269700,1.05534,1.05557,1.05511,1.05517,1417,3561.05,47.886071678600146,45.67787623848698,NaN,NaN,1.13997521325188
1677270600,1.05517,1.05527,1.05486,1.05502,2233,3307.25,46.547117520955844,45.68229509078115,NaN,NaN,1.098407922520294
1677271500,1.05502,1.05505,1.05465,1.05469,2080,3038.9,43.65511293604656,45.52301472641914,NaN,NaN,0.9072123378982964
1677272400,1.05469,1.05482,1.0546,1.0547199999999999,725,2799.7,43.995771259015385,45.44185865353476,NaN,NaN,0.9071960538668633
1677273300,1.0547199999999999,1.05487,1.05471,1.05473,521,2558.35,44.11705628766402,45.59049179578528,NaN,NaN,0.7700663603002516
1677274200,1.05473,1.05475,1.05447,1.05451,350,2327.95,41.963928164787504,45.62904445608247,NaN,NaN,0.7068366382935066
1677275100,1.05451,1.05458,1.05438,1.0545,732,2169.9,41.863913157610426,45.1889706227822,NaN,NaN,0.7006281812370897
1677448800,1.0543,1.05485,1.0543,1.05473,98,1994.1,45.104603121620876,45.237130657165935,NaN,NaN,0.5612359704761721
1677449700,1.05473,1.05473,1.05463,1.0547199999999999,58,1833.8,44.987184399781555,45.43018991797087,NaN,NaN,0.5606381030000928
1677450600,1.0547199999999999,1.05487,1.05463,1.05466,384,1702.7,44.24297232437209,45.33235927112269,NaN,NaN,0.5595588290582193
1677451500,1.05466,1.0548,1.05459,1.05459,50,1562.3,43.342128292109116,45.02503191039383,NaN,NaN,0.5246008142132762
1677452400,1.05459,1.05523,1.05452,1.05523,1078,1447.65,52.80400116987167,45.49453644744585,NaN,NaN,0.5810186190719498
1677453300,1.05523,1.05537,1.05507,1.05532,913,1348.15,53.96818658783256,45.989928221211855,NaN,NaN,0.4842727227807934
1677454200,1.05532,1.0554999999999999,1.05517,1.05521,759,1253.6,52.27106415398764,46.19636507530398,NaN,NaN,0.4333838072368253
1677455100,1.05521,1.05549,1.05518,1.05534,775,1184.65,54.107811692180476,46.640775076274004,NaN,NaN,0.4088933088647491
1677456000,1.05534,1.05545,1.0545,1.05502,2451,1190.65,49.09903174572152,46.82305466375727,NaN,NaN,0.4037861487663137
