time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,HV
1603706400,0.54686,0.54686,0.5456,0.54662,391,374.8,59.46610246484108,57.736340783001765,NaN,NaN,2.510623978091491
1603717200,0.54649,0.54784,0.5462,0.54657,396,375.95,59.094737234437396,58.391988291096574,NaN,NaN,2.426850979413984
1603728000,0.54666,0.54727,0.5455,0.5472,375,376.5,62.290250609883124,58.86447561399162,NaN,NaN,2.4228753298275887
1603738800,0.54715,0.54734,0.54593,0.54653,358,374.55,57.17478759113314,59.14224516836827,NaN,NaN,2.4152928307218953
1603749600,0.54669,0.54748,0.5463,0.54722,355,372.7,60.749710696326154,59.59299907131202,NaN,NaN,2.432691262107935
1603760400,0.54732,0.54738,0.5461,0.54703,370,371.25,59.28220194719424,59.39924955161249,NaN,NaN,2.3889741375187685
1603771200,0.547,0.54737,0.5466,0.54707,356,370.55,59.50399083593414,59.54916805801408,NaN,NaN,2.3278724698533124
1603782000,0.54709,0.54799,0.5466,0.5469,385,372.3,58.056616602670836,59.50998186417972,NaN,NaN,2.319844196873449
1603792800,0.54689,0.54741,0.5463,0.54722,389,373.5,60.02759023295339,59.24402391332898,NaN,NaN,2.182853524675936
1603803600,0.54724,0.54729,0.5458,0.54652,388,374.45,54.044797064098454,58.72525342941019,NaN,NaN,2.234971975702374
1603814400,0.54649,0.54687,0.5459,0.54611,360,374.1,50.84812197121722,58.160267103030264,NaN,NaN,2.2669598964601145
1603825200,0.54612,0.54652,0.54532,0.54601,358,372.3,50.07021989228766,57.71542484058356,NaN,NaN,1.84467946573888
1603836000,0.54604,0.54669,0.5452,0.54651,380,371.5,53.87024002407703,57.49011321283691,NaN,NaN,1.778615301357098
1603846800,0.54652,0.54747,0.5462,0.54747,373,369.7,60.142477038635334,57.47298887183496,NaN,NaN,1.9030392663063886
1603857600,0.5475,0.54839,0.5471,0.54754,361,368.8,60.563543491537914,57.55137751659901,NaN,NaN,1.6299411386851024
1603868400,0.54755,0.54875,0.5466,0.54759,395,375.7,60.88143570603065,57.67899883599853,NaN,NaN,1.5960722694446836
1603879200,0.54776,0.54776,0.5448,0.54582,403,376.85,46.57017680242163,56.55613642117986,NaN,NaN,2.0916648173865067
1603890000,0.54581,0.54598,0.5419,0.54355,397,377.65,35.15629586255676,54.98338701199583,NaN,NaN,2.6991229149960225
1603900800,0.54357,0.54422,0.5428,0.54314,380,378.25,33.55656953946692,53.041019786505885,NaN,NaN,2.6990810383386417
1603911600,0.54313,0.54322,0.542,0.54247,346,375.8,31.068627397663434,51.025764461539396,NaN,NaN,2.6363072693132796
1603922400,0.54239,0.54371,0.5422,0.54329,369,374.7,37.204997363458254,49.432979213505405,NaN,NaN,2.7530025585008358
1603933200,0.54333,0.54366,0.5427,0.54336,368,373.3,37.71473743980226,47.97998784472908,NaN,NaN,2.7576532117823036
1603944000,0.54332,0.54341,0.5422,0.54334,367,372.9,37.62077202414092,46.379500829813914,NaN,NaN,2.6873821599618033
1603954800,0.54332,0.5436,0.5406,0.54084,393,374.65,28.172098468988423,44.53145093016319,NaN,NaN,3.2074003655753427
1603965600,0.54085,0.54372,0.5404,0.5429,401,376.95,41.26293199698411,43.84679450343225,NaN,NaN,3.6139652641914974
1603976400,0.54279,0.54487,0.5418,0.54337,399,378.4,43.7804734283904,43.39752689886815,NaN,NaN,3.652037545489749
1603987200,0.54343,0.54373,0.5423,0.54342,376,379.4,44.05518756877659,42.696451723489545,NaN,NaN,3.6524319679286816
1603998000,0.54335,0.54416,0.5429,0.54343,360,378.15,44.114005736478646,41.551560916192635,NaN,NaN,3.655396278420227
1604008800,0.54349,0.54438,0.543,0.54417,363,376.85,48.43444375597525,40.68519664936673,NaN,NaN,3.7043293700624105
1604019600,0.54399,0.54528,0.5437,0.54503,379,376.4,52.98354968265869,40.12106193341159,NaN,NaN,3.7543559258414723
1604030400,0.54504,0.54547,0.5435,0.54372,365,376.65,46.285224262102176,40.10070818053163,NaN,NaN,3.8654512059001136
1604041200,0.54371,0.54444,0.5428,0.54335,385,378,44.571284881346806,40.773207396159485,NaN,NaN,3.870151425770839
1604052000,0.54331,0.54486,0.542,0.54457,396,378.8,51.01267496780465,42.02007206961219,NaN,NaN,3.9806306562826177
1604062800,0.54466,0.54489,0.5422,0.54273,403,380.3,42.91286271968295,42.866088878327865,NaN,NaN,4.0986866040186465
1604073600,0.54285,0.54327,0.5415,0.54231,393,381.9,41.30083738573074,43.15864887991876,NaN,NaN,4.093293911978591
1604084400,0.54232,0.5427,0.5419,0.5425,265,375.4,42.35578071655482,43.49015197111537,NaN,NaN,4.101301882188651
1604268000,0.5431,0.5431,0.5412,0.54189,389,374.7,39.87784613875397,43.65137155073059,NaN,NaN,3.931671940102509
1604278800,0.5418,0.54313,0.5417,0.5424,374,373.55,42.88629414228932,44.70238552739494,NaN,NaN,3.589617456533045
1604289600,0.54235,0.54351,0.5419,0.54263,379,373.5,44.24136637211266,44.91513083990412,NaN,NaN,3.5842878552934736
1604300400,0.54256,0.54502,0.5422,0.5439,392,375.8,51.135450407777554,45.440486338431775,NaN,NaN,3.6757621981594313
1604311200,0.544,0.54541,0.5432,0.54442,393,377,53.66176948656256,46.126670761130775,NaN,NaN,3.6449084638110962
1604322000,0.54447,0.54637,0.5442,0.54502,390,378.1,56.45898205028689,47.00845478354565,NaN,NaN,3.66854669656308
1604332800,0.54514,0.54609,0.5449,0.54574,378,378.65,59.6098312727232,47.80669674902765,NaN,NaN,3.6991507348144874
1604343600,0.54579,0.54649,0.5456,0.5461,354,376.7,61.12464119538654,48.388203285651066,NaN,NaN,3.0338132391153168
1604354400,0.5459,0.54622,0.5454,0.54567,347,374,58.31152598527887,49.24722483730654,NaN,NaN,2.701502492857844
1604365200,0.5456,0.54604,0.5442,0.54501,378,372.95,54.18918441315376,49.93421766100704,NaN,NaN,2.7535856229572016
1604376000,0.54495,0.54519,0.5438,0.5449,374,372.85,53.51020035555665,50.112612331560754,NaN,NaN,2.7574442492749722
1604386800,0.54481,0.54877,0.5446,0.5482,401,374.9,66.90673601454998,51.826460424051255,NaN,NaN,3.6915120222929607
1604397600,0.54825,0.54922,0.5473,0.54883,398,376.65,68.75766440135064,53.78766235373839,NaN,NaN,3.6828663013922944
1604408400,0.54879,0.54896,0.5462,0.54831,395,377.45,65.5011970613545,55.44090637836694,NaN,NaN,3.6888178006367394
1604419200,0.54813,0.54895,0.5478,0.54858,386,378.5,66.39126444839692,57.33472197191287,NaN,NaN,3.492947544834088
1604430000,0.54855,0.54964,0.5478,0.54824,377,378.1,64.14689505054271,58.8533363225024,NaN,NaN,3.4894641871533203
1604440800,0.548,0.54943,0.54691,0.54777,399,378.25,61.07335551114804,60.05562126100493,NaN,NaN,3.43683433230526
1604451600,0.5479,0.54876,0.54439,0.54652,410,378.6,53.70344597538224,60.239049515833834,NaN,NaN,3.247330569137152
1604462400,0.5466,0.54813,0.5453,0.54604,404,379.15,51.150866470979416,60.05969930043504,NaN,NaN,3.254205225449414
1604473200,0.54623,0.54788,0.5452,0.54699,408,386.3,55.64444365856353,60.00151798674052,NaN,NaN,3.3057070649318083
1604484000,0.54701,0.54957,0.546,0.54946,405,387.1,64.72912347121085,60.36718171520392,NaN,NaN,3.642120141012527
1604494800,0.54957,0.55113,0.5493,0.55096,407,388.75,68.89554477296413,60.92224625645946,NaN,NaN,3.73882196764969
1604505600,0.55085,0.5533,0.5505,0.55299,397,389.65,73.46402223945992,62.004567417472394,NaN,NaN,3.922750929418351
1604516400,0.55303,0.55342,0.5517,0.55238,380,389.05,70.13071287989496,63.14324802223962,NaN,NaN,3.9613974041767444
1604527200,0.5521,0.55422,0.55189,0.55336,390,388.9,72.30484365794996,64.48572254383915,NaN,NaN,3.9827974438918674
1604538000,0.55338,0.55376,0.5517,0.55359,396,389.2,72.80514763560674,64.90703765962891,NaN,NaN,3.9840142757059187
1604548800,0.55363,0.55378,0.5521,0.55374,379,389.25,73.14586123595714,65.22048029067223,NaN,NaN,3.982009948344655
1604559600,0.55335,0.55356,0.5512,0.55258,407,391.9,66.23486245122288,65.27288496137712,NaN,NaN,4.152390610057104
1604570400,0.55254,0.55375,0.5511,0.55367,395,394.3,69.18143206027821,65.47218264794006,NaN,NaN,4.144222720771917
1604581200,0.55377,0.55512,0.5524,0.55452,401,395.45,71.28580152357915,65.98210453887124,NaN,NaN,4.066827478183109
1604592000,0.55444,0.55528,0.5533,0.55491,397,396.6,72.22298677838411,66.77850677224525,NaN,NaN,4.040879089693076
1604602800,0.55482,0.55488,0.5529,0.55362,386,395.85,64.70073679508852,67.56402754508142,NaN,NaN,3.578347121444082
1604613600,0.5536,0.55382,0.5517,0.55277,383,395.1,60.247982563671926,68.2138215517023,NaN,NaN,3.66210377395686
1604624400,0.5528,0.55367,0.5519,0.55233,392,394.95,58.02195621890031,68.38364387744063,NaN,NaN,3.6527716652915405
1604635200,0.5525,0.55368,0.5521,0.55329,374,394.35,61.37514420782005,68.14407393005558,NaN,NaN,3.697143641043526
1604646000,0.55336,0.55376,0.5525,0.55296,398,395.4,59.612358974028695,67.48098923013163,NaN,NaN,3.695948242880089
1604656800,0.55295,0.5541,0.5523,0.55295,404,395.65,59.55653676003746,66.48759741017288,NaN,NaN,3.658971026695556
1604667600,0.553,0.55365,0.5523,0.55306,398,395.05,60.00025303842988,65.76399313578251,NaN,NaN,3.458306949726085
1604678400,0.55271,0.55321,0.5513,0.5522,390,394.35,54.9264991985072,64.5226828172509,NaN,NaN,3.52191029852365
1604689200,0.55244,0.55267,0.5513,0.55162,356,391.75,51.74826200909635,63.01861955821444,NaN,NaN,3.5431613568849842
1604872800,0.5528,0.55318,0.5514,0.55174,381,390.55,52.36243662218565,61.53408922865934,NaN,NaN,3.0577538800011923
1604883600,0.5519,0.55289,0.5514,0.55272,392,389.8,57.15838248978167,60.88576923141353,NaN,NaN,2.9380013940271894
1604894400,0.55273,0.55368,0.5525,0.5529,375,388.7,57.99486757908766,60.0867289113285,NaN,NaN,2.505068562259257
1604905200,0.55275,0.55465,0.5518,0.55354,400,389.7,60.91682782224337,59.34608793266165,NaN,NaN,2.5014765244298967
1604916000,0.55358,0.55729,0.553,0.55697,406,390.5,72.11305522041685,59.33823567852112,NaN,NaN,3.5074849107176584
1604926800,0.55689,0.55689,0.554,0.55471,407,391.05,59.93072334306859,58.99752043194827,NaN,NaN,3.954306677190775
1604937600,0.55473,0.55473,0.5532,0.55339,401,392.15,54.17421266552822,58.56367972493801,NaN,NaN,4.085665425140736
1604948400,0.55349,0.55396,0.5524,0.55285,386,391.1,51.97479799716324,58.13173985195679,NaN,NaN,4.008181254204979
1604959200,0.5527,0.55309,0.5518,0.55255,383,390.5,50.74227059339971,57.372248879498194,NaN,NaN,3.921139643138302
1604970000,0.55254,0.55274,0.5514,0.55187,392,390.05,47.9657109843819,56.540345451666276,NaN,NaN,3.879513509736036
1604980800,0.55193,0.55246,0.5516,0.55224,390,389.7,49.58229280698156,55.82789945501943,NaN,NaN,3.8780811592607445
1604991600,0.55225,0.55316,0.5497,0.55,391,389.95,41.23085286570485,54.48722801411049,NaN,NaN,4.109181507398636
1605002400,0.55012,0.55032,0.5482,0.54917,401,390.85,38.63415774064694,53.323489338549045,NaN,NaN,4.107784338651878
1605013200,0.54925,0.54936,0.5471,0.54861,399,391.2,36.94359081685,52.26601282481715,NaN,NaN,4.113510673294392
1605024000,0.54857,0.55004,0.54857,0.54932,397,392.35,40.498618395090496,51.4185972371675,NaN,NaN,4.076691994335489
1605034800,0.54936,0.54967,0.5483,0.54887,383,391.6,38.99791796103328,50.12142119939976,NaN,NaN,4.080107917627939
1605045600,0.5485,0.54926,0.5484,0.54878,372,390,38.68913205709921,48.74244009068631,NaN,NaN,4.078255301863396
1605056400,0.54907,0.55114,0.5487,0.55101,392,389.7,49.383501457779154,47.91863106465314,NaN,NaN,4.474744908567785
1605067200,0.55098,0.55112,0.5502,0.5506,367,388.55,47.73489364608988,46.17733380934407,NaN,NaN,4.442015158988678
1605078000,0.55061,0.55076,0.5482,0.55028,404,390.95,46.432015456392655,45.21314038886721,NaN,NaN,4.428824001523779
1605088800,0.55025,0.5505,0.5479,0.54964,393,391.55,43.85396507565081,44.47597984673312,NaN,NaN,4.446828020099605
1605099600,0.54969,0.5506,0.5489,0.55032,410,392.45,47.20791302046184,44.13548806268302,NaN,NaN,4.408902722236658
1605110400,0.55028,0.55102,0.5497,0.55059,377,392.55,48.522809602461535,43.97695513475886,NaN,NaN,4.4131428629077885
1605121200,0.55066,0.55093,0.55,0.55038,351,390.1,47.531197685810525,43.945918470575194,NaN,NaN,4.372528699410654
1605132000,0.5504,0.55096,0.5499,0.55074,361,387.85,49.438771298311,43.93566693424158,NaN,NaN,3.3730362357275965
1605142800,0.55068,0.55125,0.5502,0.55041,374,386.2,47.72587840209519,44.39959732969804,NaN,NaN,3.004642054205036
1605153600,0.55045,0.55089,0.5498,0.55032,380,385.15,47.24511357193696,45.01466560336161,NaN,NaN,2.875251742222634
1605164400,0.55025,0.55175,0.5498,0.55168,383,385,54.67522752415595,46.281211082454895,NaN,NaN,3.073499536060402
1605175200,0.55175,0.55254,0.5507,0.55158,400,385.85,54.072178767720054,47.250751109071295,NaN,NaN,3.067802668046164
1605186000,0.55167,0.55311,0.5509,0.55303,390,385.75,60.820203806685974,48.8094858123322,NaN,NaN,3.221878144992403
1605196800,0.55289,0.55323,0.5512,0.55181,388,385.65,53.67449490657106,49.87986887300876,NaN,NaN,3.350123179721601
1605207600,0.55192,0.5521,0.5507,0.5511,378,385,49.99327123958369,49.923423857423366,NaN,NaN,2.9120601761830684
1605218400,0.5506,0.5517,0.55032,0.55114,364,383.15,50.200493118662855,50.0995381054643,NaN,NaN,2.825638826824329
1605229200,0.5511,0.55163,0.5504,0.55071,382,382.3,47.902450694013716,50.204569193865794,NaN,NaN,2.808782287025706
1605240000,0.5507,0.55123,0.5501,0.55021,380,381.45,45.30536701005098,50.30824076060867,NaN,NaN,2.800685191614796
1605250800,0.5502,0.55047,0.5494,0.55037,393,381.95,46.30852244084836,50.24399857635056,NaN,NaN,2.773561233679934
