time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,HV
1642525200,1.67439,1.67658,1.67439,1.67574,2132,2306,39.92459564524073,53.06603016700616,NaN,NaN,1.7648518028972677
1642528800,1.67574,1.67656,1.67444,1.67482,1578,2356.3,37.448163689473766,51.07750538275092,NaN,NaN,1.7607585031183304
1642532400,1.67482,1.67488,1.67223,1.67248,1887,2429.5,32.00965764187775,48.594973961195784,NaN,NaN,1.838098826121992
1642536000,1.67248,1.67378,1.6724,1.67268,1516,2467.4,32.9065249573016,46.78529168714733,NaN,NaN,1.8422619022686288
1642539600,1.67268,1.67414,1.67258,1.67302,746,2454.4,34.48861556173652,45.21554353403434,NaN,NaN,1.8402680335043513
1642543200,1.67302,1.67399,1.67176,1.67292,238,2410.45,34.23293309784884,43.14581118256583,NaN,NaN,1.836173890094089
1642546800,1.67292,1.67368,1.67204,1.67323,549,2292.2,35.82134156401031,41.136847136330516,NaN,NaN,1.3648565226229137
1642550400,1.67323,1.67411,1.67165,1.67257,1457,2278.25,33.94178531640223,39.09380143352916,NaN,NaN,1.3642422079679237
1642554000,1.67257,1.67262,1.6704,1.67202,1374,2289.3,32.415386160744205,37.481175812682785,NaN,NaN,1.3401765811496826
1642557600,1.67202,1.67246,1.66922,1.67005,1399,2285.05,27.62355766320472,35.78747013248145,NaN,NaN,1.3602016177542802
1642561200,1.67005,1.67154,1.66992,1.67076,1139,2172.9,31.550864552029694,34.8242854011907,NaN,NaN,1.394544903458011
1642564800,1.67076,1.67086,1.66856,1.67048,777,2021.25,30.84014480489664,33.791890827596994,NaN,NaN,1.2222474511234402
1642568400,1.67048,1.67053,1.66878,1.66901,896,1927.05,27.356088926544544,33.181070675073244,NaN,NaN,1.2196661832853826
1642572000,1.66901,1.66968,1.66846,1.6695,1027,1874.95,30.18726440375991,32.910494570362225,NaN,NaN,1.25057011149764
1642575600,1.6695,1.67171,1.66905,1.67159,2792,1913.1,40.78750702177019,32.97213109725719,NaN,NaN,1.3972020447653264
1642579200,1.67159,1.67232,1.66964,1.67012,3108,1945.8,36.58038460786802,32.91014687714249,NaN,NaN,1.4169167531391742
1642582800,1.67012,1.67106,1.66934,1.66938,2099,1825.95,34.643182904082764,33.098255824442845,NaN,NaN,1.384684640449948
1642586400,1.66938,1.67014,1.66856,1.66914,1387,1667.15,34.014040432753845,33.177364072689436,NaN,NaN,1.379598798271477
1642590000,1.66914,1.67073,1.6691,1.66928,1536,1515.1,34.75835682757463,33.196631305963585,NaN,NaN,1.1997032571910184
1642593600,1.66928,1.67006,1.66876,1.66944,1332,1448.45,35.65170290985914,33.29797200682147,NaN,NaN,1.1974818527059237
1642597200,1.66944,1.66953,1.66766,1.6683,2907,1487.2,32.26204202957648,33.043736325790476,NaN,NaN,1.1401281642530663
1642600800,1.6683,1.66895,1.6657,1.66655,3940,1605.3,27.879912072781607,32.61074537981757,NaN,NaN,1.1844660955100552
1642604400,1.66655,1.67083,1.66651,1.67055,4109,1716.4,45.95110572637549,33.577582491648386,NaN,NaN,1.5187049617883208
1642608000,1.67055,1.67203,1.66949,1.67061,2634,1772.3,46.168996584846596,34.90225670033709,NaN,NaN,1.5173213092809166
1642611600,1.67061,1.67064,1.66927,1.6696,1433,1806.65,43.02469089232148,35.72181572464364,NaN,NaN,1.528807595278939
1642615200,1.6696,1.67032,1.66863,1.67012,863,1837.9,45.09783940795728,36.740222482005116,NaN,NaN,1.538474060126003
1642618800,1.67012,1.67093,1.66945,1.66966,909,1855.9,43.586927471260275,37.89956809234196,NaN,NaN,1.5357286609396248
1642622400,1.66966,1.67164,1.6696,1.67117,1075,1836.8,49.56079328381878,39.28339158377474,NaN,NaN,1.5856913079628925
1642626000,1.67117,1.67282,1.67098,1.67181,693,1802.75,51.8863744565941,40.0761678291193,NaN,NaN,1.5898699593821952
1642629600,1.67181,1.6734,1.67181,1.67214,170,1741.3,53.08745167452936,41.25524404816654,NaN,NaN,1.5056635449038236
1642633200,1.67214,1.67326,1.67165,1.67307,648,1716.75,56.39136772217046,42.808685820887085,NaN,NaN,1.5123910282319883
1642636800,1.67307,1.67568,1.67183,1.67394,1605,1758.15,59.28047500605977,44.61343114755179,NaN,NaN,1.5198275013441824
1642640400,1.67394,1.6771,1.67264,1.67683,2436,1835.15,67.08212218219495,46.922271530024666,NaN,NaN,1.5972300028199242
1642644000,1.67683,1.67882,1.67617,1.67761,1360,1851.8,68.81856749051622,49.29133328578588,NaN,NaN,1.5999964247763812
1642647600,1.67761,1.67816,1.67631,1.67779,826,1753.5,69.22205627486997,51.931334303306855,NaN,NaN,1.538068487232541
1642651200,1.67779,1.67818,1.67696,1.67756,601,1628.15,68.01102669989393,54.79784249095773,NaN,NaN,1.4739779916414935
1642654800,1.67756,1.6797,1.67738,1.67884,1063,1576.35,71.04682722788827,56.59039402678007,NaN,NaN,1.4600835027846273
1642658400,1.67884,1.67911,1.67804,1.67844,1022,1558.1,68.84796144427057,58.2103200881675,NaN,NaN,1.4656394604718026
1642662000,1.67844,1.67886,1.67752,1.67824,1835,1573.05,67.71940865652459,59.97422849989629,NaN,NaN,1.4729626602865236
1642665600,1.67824,1.67884,1.67528,1.67609,2457,1629.3,56.918142691260044,60.81853587727505,NaN,NaN,1.6078346969494834
1642669200,1.67609,1.67678,1.67454,1.675,2227,1595.3,52.35859069410823,61.44508325033563,NaN,NaN,1.6046292384416998
1642672800,1.675,1.67562,1.67366,1.67391,1697,1483.15,48.20037905528126,61.347910805440094,NaN,NaN,1.5558092148212128
1642676400,1.67391,1.67398,1.67241,1.67376,1331,1344.25,47.63967094382832,61.04457484024254,NaN,NaN,1.2315602704620858
1642680000,1.67376,1.67436,1.67321,1.67366,1485,1286.8,47.245089655006396,60.62726326741947,NaN,NaN,1.233055043035904
1642683600,1.67366,1.6738,1.67016,1.67066,3366,1383.45,37.27151725791983,59.261559662830145,NaN,NaN,1.4379794652138436
1642687200,1.67066,1.67168,1.66838,1.66868,3725,1526.55,32.408735563162,57.34214970262316,NaN,NaN,1.5177675541575002
1642690800,1.66868,1.66974,1.66759,1.66838,4684,1715.3,31.733178524122337,54.817225155617976,NaN,NaN,1.5156160986090392
1642694400,1.66838,1.66882,1.66748,1.6688,2327,1777.9,33.81327532190538,52.31684714357434,NaN,NaN,1.465098154200273
1642698000,1.6688,1.66952,1.66763,1.66934,1431,1814.8,36.4926118666397,49.97902968584361,NaN,NaN,1.4619474760493483
1642701600,1.66934,1.6703,1.66888,1.66948,1335,1873.05,37.20238327165466,47.77841229811223,NaN,NaN,1.458863983489119
1642705200,1.66948,1.67073,1.66898,1.67016,1392,1910.25,40.670777570567786,45.60869446544648,NaN,NaN,1.4483103804505892
1642708800,1.67016,1.67419,1.6697,1.67374,2033,1931.65,54.81895185243582,44.606622351744,NaN,NaN,1.7066130421919667
1642712400,1.67374,1.67502,1.67322,1.67388,1050,1862.35,55.268191311549266,43.717249684245765,NaN,NaN,1.530557411411122
1642716000,1.67388,1.67462,1.67368,1.67432,267,1807.7,56.72456349442881,43.70342259875782,NaN,NaN,1.5194968270266322
1642719600,1.67432,1.6769,1.67346,1.67605,1334,1833.1,61.96765174306461,44.3897841022547,NaN,NaN,1.5895747981892718
1642723200,1.67605,1.67874,1.67559,1.67803,1748,1890.45,66.90913769814767,45.726124005316606,NaN,NaN,1.6693771638270478
1642726800,1.67803,1.68296,1.6778,1.68128,2320,1953.3,73.08967487476525,47.54398142895496,NaN,NaN,1.8290397882038687
1642730400,1.68128,1.6822,1.67978,1.68208,1713,1987.85,74.3591992167574,49.48070354050861,NaN,NaN,1.831051055845012
1642734000,1.68208,1.68348,1.68104,1.68247,1424,1967.3,74.97890799900347,52.17408859344315,NaN,NaN,1.8289242378921686
1642737600,1.68247,1.68333,1.68191,1.68264,932,1891.05,75.25960111489479,55.23486470428121,NaN,NaN,1.7221879783103844
1642741200,1.68264,1.6831,1.68146,1.68184,794,1819.4,71.21105870287231,58.05471328847762,NaN,NaN,1.7079920952268928
